time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2006-01-01 00:00:00,19.1789,0.99973,2.1585,98.5246,1.7135,0.0069426
2006-01-02 00:00:00,37.1111,0.94255,3.0079,91.5977,2.7113,0.0021906
2006-01-03 00:00:00,31.0415,0.95801,4.3901,85.8918,5.6565,0.0054841
2006-01-04 00:00:00,15.0287,0.99306,3.8877,97.6988,3.1458,0.0098822
2006-01-05 00:00:00,63.065,0.7713,2.7129,97.4456,0.54815,0.002002
2006-01-06 00:00:00,67.8388,0.39287,2.2211,82.121,0.30111,0.00020282
2006-01-07 00:00:00,72.0239,0,4.3413,74.3467,1.5708,0
2006-01-08 00:00:00,73.9825,0,2.4349,67.8503,2.1109,0
2006-01-09 00:00:00,75.3388,0.16667,3.3092,64.3738,2.3712,4.9462e-05
2006-01-10 00:00:00,77.0045,0,4.7766,59.8571,2.4699,0
2006-01-11 00:00:00,77.8512,0,-1.2486,68.0429,0.073897,0
2006-01-12 00:00:00,36.6523,0.51972,2.8922,62.3144,2.1036,0
2006-01-13 00:00:00,20.7115,0.99941,5.0753,98.0113,3.2836,0.017734
2006-01-14 00:00:00,29.6381,0.89783,10.2003,67.5303,6.0156,0.00042267
2006-01-15 00:00:00,36.3746,0.86166,7.885,62.5424,1.5533,4.6817e-05
2006-01-16 00:00:00,57.2259,0.91167,3.8571,90.16,0.542,0.0058895
2006-01-17 00:00:00,80.302,0.31389,3.6852,88.6688,2.9472,0.0029347
2006-01-18 00:00:00,13.5953,0.92528,7.2892,94.3072,5.021,0.018334
2006-01-19 00:00:00,28.2064,1,10.9053,89.2556,6.2195,0.01166
2006-01-20 00:00:00,10.4472,1,7.8034,96.3721,1.2114,0.016551
2006-01-21 00:00:00,29.0216,0.96722,6.6299,99.2839,0.78816,0.0095788
2006-01-22 00:00:00,85.5734,0.03389,4.8641,94.3711,2.3821,0.00011197
2006-01-23 00:00:00,74.3611,0.26569,4.4735,89.5164,2.5431,8.8674e-05
2006-01-24 00:00:00,86.8594,0.008011,3.1777,87.7696,2.7771,0
2006-01-25 00:00:00,17.5187,0.87398,3.7056,94.2228,1.3914,0.0036061
2006-01-26 00:00:00,33.0201,0.95398,3.1448,97.178,2.3228,0.010559
2006-01-27 00:00:00,54.6779,1,3.4961,97.6095,0.6865,0.0057963
2006-01-28 00:00:00,23.5986,1,2.3902,98.8882,1.8785,0.0019411
2006-01-29 00:00:00,34.0144,0.96805,2.8028,97.1031,2.0107,0.0053076
2006-01-30 00:00:00,17.5208,1,7.0254,98.6649,5.7817,0.0242
2006-01-31 00:00:00,17.9744,1,3.5034,98.9586,1.2471,0.016607
2006-02-01 00:00:00,39.1955,1,4.3049,93.3311,0.86599,0.0050563
2006-02-02 00:00:00,21.2601,1,5.5092,94.5407,1.7219,0.0073486
2006-02-03 00:00:00,37.2127,1,6.2344,94.1952,3.626,0.0038013
2006-02-04 00:00:00,12.7449,1,5.9035,96.2671,3.8211,0.016301
2006-02-05 00:00:00,47.6762,0.89612,2.8354,84.0498,3.4068,0.002281
2006-02-06 00:00:00,24.6821,1,5.4464,95.3156,5.2766,0.013293
2006-02-07 00:00:00,33.6174,0.98195,6.5659,95.3035,5.3213,0.0050707
2006-02-08 00:00:00,37.3207,1,7.1166,92.6009,7.6956,0.017379
