time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2009-02-17 00:00:00,0.00012216,0.75,6.0323,41,3.6111,0
2009-02-17 01:00:00,0,1,4.7915,46,0,0
2009-02-17 02:00:00,0,1,5.2051,44,1.9444,0
2009-02-17 03:00:00,0,1,4.8949,46,1.9444,0
2009-02-17 04:00:00,0,1,3.8609,51,1.6667,0
2009-02-17 05:00:00,0.00035652,1,4.7915,46,1.9444,0
2009-02-17 06:00:00,0.00026407,1,3.2405,51,1.6667,0
2009-02-17 07:00:00,0.088111,0.75,2.6201,52,1.6667,0
2009-02-17 08:00:00,12.943,0.75,2.6201,55,0,0
2009-02-17 09:00:00,59.7736,0.75,4.4813,47,0,0
2009-02-17 10:00:00,107.4118,0.75,4.9983,47,3.0556,0
2009-02-17 11:00:00,144.2601,0.75,5.6187,46,1.9444,0
2009-02-17 12:00:00,196.6693,0.75,6.7561,45,2.5,0
2009-02-17 13:00:00,186.8747,0.75,7.1697,43,1.6667,0
2009-02-17 14:00:00,223.8678,1,7.4799,42,1.9444,0
2009-02-17 15:00:00,139.8763,1,7.5833,43,1.1111,0
2009-02-17 16:00:00,121.406,0.75,8.2037,41,1.6667,0
2009-02-17 17:00:00,56.3231,0.75,6.9629,47,1.9444,0
2009-02-17 18:00:00,8.3737,1,6.0323,51,1.9444,0
2009-02-17 19:00:00,0.0028216,1,5.6187,52,1.6667,0
2009-02-17 20:00:00,0.0001514,0.75,5.3085,52,1.6667,0
2009-02-17 21:00:00,7.2345e-05,0.75,5.1017,52,0,0
2009-02-17 22:00:00,0,0.75,3.8609,56,0,0
2009-02-17 23:00:00,0,0.75,3.0337,61,0,0
2009-02-18 00:00:00,0.00032058,0.75,2.2065,66,0,0
2009-02-18 01:00:00,3.7154e-05,0.25,1.2759,66,1.1111,0
2009-02-18 02:00:00,0.00010158,0.25,-0.3785,71,0,0
2009-02-18 03:00:00,4.0732e-05,0.5,-0.8955,72,0,0
2009-02-18 04:00:00,0,0.25,-1.1023,72,0,0
2009-02-18 05:00:00,0.00072861,0,-2.6533,76,0,0
2009-02-18 06:00:00,0.00038228,0,-2.3431,76,0,0
2009-02-18 07:00:00,0.11559,0.25,-2.7567,77,0,0
2009-02-18 08:00:00,14.1448,0.25,-2.2397,77,1.1111,0
2009-02-18 09:00:00,60.2199,0.75,1.3793,74,0,0
2009-02-18 10:00:00,218.0226,0.75,4.5847,66,0,0
2009-02-18 11:00:00,410.7688,0.75,6.9629,60,0,0
2009-02-18 12:00:00,465.2449,0.75,9.5479,52,0,0
2009-02-18 13:00:00,477.6725,0.75,10.3751,52,0,0
2009-02-18 14:00:00,391.2981,0.75,11.8227,46,0,0
2009-02-18 15:00:00,278.1464,0.75,11.7193,47,3.0556,0
2009-02-18 16:00:00,136.4113,0.75,11.9261,47,3.6111,0
2009-02-18 17:00:00,54.4721,0.75,10.3751,55,3.0556,0
2009-02-18 18:00:00,7.72,0.25,7.0663,62,1.1111,0
2009-02-18 19:00:00,0.0046292,0.25,4.8949,67,1.1111,0
2009-02-18 20:00:00,2.2528e-05,0.25,2.4133,73,0,0
2009-02-18 21:00:00,0,0.25,2.2065,75,0,0
2009-02-18 22:00:00,0.00030637,0,1.1725,74,1.6667,0
2009-02-18 23:00:00,0,0,1.5861,72,1.6667,0
2009-02-19 00:00:00,0,0,1.8963,71,1.1111,0
2009-02-19 01:00:00,0,0,1.6895,72,1.9444,0
2009-02-19 02:00:00,0.00014232,6.9849e-10,0.9657,73,1.9444,0
2009-02-19 03:00:00,0.00042293,0.25,1.5861,71,3.0556,0
2009-02-19 04:00:00,0.00077832,0,-0.0683,75,3.0556,0
2009-02-19 05:00:00,0.00050442,1.397e-09,0.9657,73,3.0556,0
2009-02-19 06:00:00,7.5868e-05,0.5,0.9657,72,2.5,0
2009-02-19 07:00:00,0.13378,0.75,-0.1717,74,1.6667,0
2009-02-19 08:00:00,14.9384,0.75,1.1725,71,1.6667,0
2009-02-19 09:00:00,60.9571,0.75,2.2065,70,1.6667,0
2009-02-19 10:00:00,139.139,0.75,3.4473,65,1.6667,0
2009-02-19 11:00:00,247.0642,0.75,4.8949,61,0,0
2009-02-19 12:00:00,407.7278,0.25,7.8935,52,1.6667,0
2009-02-19 13:00:00,500.5266,0.25,10.0649,47,0,0
2009-02-19 14:00:00,455.6609,0.25,10.8921,43,1.6667,0
2009-02-19 15:00:00,358.3333,0.25,11.2023,43,1.6667,0
2009-02-19 16:00:00,189.1101,0.25,10.8921,50,3.6111,0
2009-02-19 17:00:00,38.6006,0.25,9.8581,50,1.6667,0
2009-02-19 18:00:00,8.1724,0.25,7.1697,57,1.6667,0
2009-02-19 19:00:00,0.0066896,0.25,4.2745,66,1.1111,0
2009-02-19 20:00:00,0,0.25,1.0691,74,0,0
2009-02-19 21:00:00,7.9042e-06,0,0.4487,76,0,0
2009-02-19 22:00:00,0,0,-0.3785,77,0,0
2009-02-19 23:00:00,0.0002336,0,-0.9989,76,0,0
2009-02-20 00:00:00,0.00027554,0,-1.7227,77,0,0
2009-02-20 01:00:00,0,0,-1.7227,75,1.6667,0
2009-02-20 02:00:00,1.423e-05,0,-1.4125,75,0,0
2009-02-20 03:00:00,0.00011504,0,-2.4465,75,1.1111,0
2009-02-20 04:00:00,0.00012339,0,-2.5499,76,0,0
2009-02-20 05:00:00,0.00080527,6.9849e-10,-3.5839,77,0,0
2009-02-20 06:00:00,0,0.25,-3.4805,75,0,0
2009-02-20 07:00:00,0.16851,0.25,-2.7567,72,1.9444,0
2009-02-20 08:00:00,16.6244,0.75,-0.7921,70,0,0
2009-02-20 09:00:00,49.118,0.75,2.8269,61,1.9444,0
2009-02-20 10:00:00,238.6388,0.75,5.3085,52,1.1111,0
2009-02-20 11:00:00,382.9252,0.75,6.4459,47,1.6667,0
2009-02-20 12:00:00,485.4002,0.75,8.6173,42,0,0
2009-02-20 13:00:00,509.9526,0.75,9.7547,39,0,0
2009-02-20 14:00:00,468.9968,0.5,11.3057,35,1.1111,0
2009-02-20 15:00:00,375.1316,0.25,11.7193,34,1.1111,0
2009-02-20 16:00:00,190.9584,0.25,12.0295,35,1.6667,0
2009-02-20 17:00:00,37.005,0.25,9.9615,42,1.9444,0
2009-02-20 18:00:00,8.1693,0.25,6.6527,54,1.1111,0
2009-02-20 19:00:00,0.0092998,0.25,3.7575,59,1.1111,0
2009-02-20 20:00:00,0,0.25,0.8623,69,0,0
2009-02-20 21:00:00,0,0,-0.0683,70,0,0
2009-02-20 22:00:00,0.00013519,0,-0.9989,71,0,0
2009-02-20 23:00:00,0,0,-1.6193,73,0,0
2009-02-21 00:00:00,0.00021188,0,-0.4819,69,1.9444,0
2009-02-21 01:00:00,5.5244e-06,0.25,-0.0683,66,1.1111,0
2009-02-21 02:00:00,0,0.25,-1.8261,70,2.5,0
2009-02-21 03:00:00,0,0.25,0.9657,63,3.0556,0
2009-02-21 04:00:00,0.00029054,0,0.8623,62,3.6111,0
2009-02-21 05:00:00,0,0.25,0.6555,62,4.1667,0
2009-02-21 06:00:00,0.00017911,0.25,-0.0683,64,1.9444,0
2009-02-21 07:00:00,0.23563,0.25,0.4487,61,3.0556,0
2009-02-21 08:00:00,14.6368,0.25,1.1725,59,1.9444,0
2009-02-21 09:00:00,37.0129,0.25,2.9303,55,3.6111,0
2009-02-21 10:00:00,236.2177,0.5,6.2391,46,1.9444,0
2009-02-21 11:00:00,450.3949,0.75,7.2731,42,2.5,0
2009-02-21 12:00:00,440.1395,0.75,9.4445,38,3.6111,0
2009-02-21 13:00:00,312.4934,0.75,10.1683,36,3.6111,0
2009-02-21 14:00:00,306.8194,0.75,10.4785,37,1.6667,0
2009-02-21 15:00:00,178.6203,0.75,10.4785,36,2.5,0
2009-02-21 16:00:00,129.1469,0.75,10.6853,35,1.6667,0
2009-02-21 17:00:00,63.3268,0.75,9.6513,39,1.6667,0
2009-02-21 18:00:00,9.1859,0.75,8.8241,37,1.1111,0
2009-02-21 19:00:00,0.011416,0.75,3.1371,55,0,0
2009-02-21 20:00:00,0,0.75,2.3099,57,1.6667,0
2009-02-21 21:00:00,9.9227e-05,1,3.1371,57,0,0
2009-02-21 22:00:00,0,1,3.5507,54,0,0
2009-02-21 23:00:00,0.00041543,1,3.7575,56,1.6667,0
2009-02-22 00:00:00,0.00021505,1,3.7575,61,1.6667,0.0095
2009-02-22 01:00:00,0.00028977,1,6.3425,46,4.1667,0
2009-02-22 02:00:00,0.00074913,0.75,6.6527,45,2.5,0
2009-02-22 03:00:00,0.00032653,0.75,6.8595,43,3.6111,0
2009-02-22 04:00:00,0,0.75,6.9629,43,1.9444,0
2009-02-22 05:00:00,0,0.75,6.7561,43,3.6111,0
2009-02-22 06:00:00,1.1461e-05,0.75,7.0663,42,2.5,0
2009-02-22 07:00:00,0.30687,0.75,5.9289,44,1.1111,0
2009-02-22 08:00:00,9.4086,1,8.2037,40,5.2778,0
2009-02-22 09:00:00,24.6182,1,5.8255,59,3.0556,0
2009-02-22 10:00:00,46.7733,1,6.1357,58,3.0556,0
2009-02-22 11:00:00,76.5021,1,6.5493,61,1.9444,0
2009-02-22 12:00:00,87.0484,1,6.7561,60,3.6111,0
2009-02-22 13:00:00,47.5013,1,7.6867,60,2.5,0
2009-02-22 14:00:00,173.7151,0.75,9.1343,54,4.1667,0
2009-02-22 15:00:00,145.129,0.75,9.0309,59,4.7222,0
2009-02-22 16:00:00,100.5319,0.75,9.0309,61,2.5,0
2009-02-22 17:00:00,60.2001,1,8.7207,61,1.9444,0
2009-02-22 18:00:00,8.5721,1,7.8935,62,1.9444,0
2009-02-22 19:00:00,0.016359,0.75,7.1697,64,1.6667,0
2009-02-22 20:00:00,0.00048271,1,7.2731,64,2.5,0
2009-02-22 21:00:00,0,1,7.4799,65,2.5,0
2009-02-22 22:00:00,0,1,6.9629,69,1.9444,0
2009-02-22 23:00:00,0.00016761,1,6.4459,72,2.5,0
2009-02-23 00:00:00,0.00012018,1,6.2391,76,1.6667,0.007
2009-02-23 01:00:00,7.5899e-05,1,5.8255,79,1.9444,0
2009-02-23 02:00:00,7.5079e-06,1,5.8255,79,3.0556,0
2009-02-23 03:00:00,0,1,5.5153,82,1.6667,0
2009-02-23 04:00:00,5.178e-05,1,5.3085,82,1.1111,0
2009-02-23 05:00:00,0,1,5.4119,82,1.1111,0
2009-02-23 06:00:00,0,0.75,5.4119,81,3.6111,0
2009-02-23 07:00:00,0.41119,0.75,5.3085,82,2.5,0
